hrs,krate,name
28,0.176724138,Andrew McCutchen
28,0.155897821,Jose Martinez
28,0.30025663,Alex De Jesus
28,0.152459016,Gabriel Martinez
28,0.293918919,Adrian Placencia
28,0.288418708,Hedbert Perez
28,0.28768021,Anthony Rodriguez
28,0.17721519,Jeferson Quero
28,0.168208579,Bryant Betancourt
28,0.296915167,Guillermo Williamson
28,0.198567042,Eduardo Tait
28,0.303602058,Tai Peete
28,0.251223491,Emil Morales
28,0.259705489,Billy Rowell
28,0.196551724,John Tolisano
28,0.218999275,Juan Silverio
28,0.303155007,Telvin Nash
28,0.215419501,Jesus Vasquez
28,0.259881423,Jose Carlos Urena
28,0.285561497,Julian Leon
28,0.199,Ramon Marcelino
28,0.224322621,Omar Estevez
28,0.172343324,Miguel Aparicio
28,0.226244344,Andy Yerzy
27,0.188983856,Wil Myers
27,0.126770061,Gio Urshela
27,0.196463654,Christian Yelich
27,0.154761905,Jamie Westbrook
27,0.17695962,Richard Urena
27,0.148802018,Alex Kirilloff
27,0.171636364,Miguel Amaya
27,0.246646796,Esteury Ruiz
27,0.300242131,Nick Pratto
27,0.243819267,Cal Mitchell
27,0.214670982,Mark Vientos
27,0.228915663,Alexander Canario
27,0.208471761,Ronny Mauricio
27,0.252941176,Zac Veen
27,0.194003527,Evan Carter
27,0.235202492,Coby Mayo
27,0.122913505,Luis Jimenez
27,0.15274463,Lonnie Chisenhall
27,0.225516146,Francisco Martinez
27,0.23564753,Kelvin Hidalgo
27,0.228033473,Brayan Buelvas
27,0.241269841,Alex Ramirez
27,0.215228426,Derlin Figueroa
27,0.20747889,Alfredo Duno
27,0.204007286,Eduardo Quintero
27,0.342917998,George Wolkow
27,0.235968618,Jose Rivero
27,0.215017065,Ravel Santana
27,0.274509804,Junior Arias
27,0.26681128,Julian Yan
27,0.293118097,Jake Gatewood
27,0.339063992,Micker Adolfo
27,0.252365931,Maxwell Morales
26,0.176005274,Cheslor Cuthbert
26,0.201114206,Delino DeShields
26,0.164917541,Francisco Mejia
26,0.244883041,Javy Guerra
26,0.233908046,Luis Alexander Basabe
26,0.149253731,Victor Robles
26,0.228717949,Travis Blankenhorn
26,0.190947666,Sandro Fabian
26,0.2368,Mario Feliciano
26,0.152657005,Eric Hosmer
26,0.179071069,Engel Beltre
26,0.207511737,John Whittleman
26,0.249833887,Cristian Gonzalez
26,0.190261497,Leonardo Bernal
26,0.203608247,David Rodriguez
26,0.187170475,Yeremy Cabrera
26,0.322338831,Jeffry Rosa
26,0.273556231,Aidan Smith
26,0.213169643,Leo De Vries
26,0.194867334,Miguel Hernandez
26,0.255172414,Abner Abreu
26,0.255416192,Julio Morban
26,0.252380952,Gabriel Tenia
26,0.25413403,Fernando Perez
26,0.416267943,Juan Romero
26,0.206367925,Wilton Martinez
26,0.287308229,Vicente Lupo
26,0.266666667,D.J. Davis
26,0.291492329,Amaurys Minier
26,0.219269103,Isiah Gilliam
26,0.298492462,Izzy Wilson
25,0.172526042,Rosell Herrera
25,0.230113636,Teoscar Hernandez
25,0.116731518,Alex Verdugo
25,0.273958333,Michael Chavis
25,0.19342723,Enmanuel Valdez
25,0.29028436,Nelson Velazquez
25,0.160493827,Hank Conger
25,0.13373494,Warming Bernabel
25,0.206773619,Luisangel Acuna
25,0.2,Nick Yorke
25,0.249657064,Thomas Saggese
25,0.228699552,Anthony Gose
25,0.194609411,Jose Pirela
25,0.183682373,Mario Martinez
25,0.304904051,Neyfy Castillo
25,0.228464419,Yunior Garcia
25,0.360724234,Eduarqui Fernandez
25,0.296632124,Marcos Cabrera
25,0.201538462,Eddinson Paulino
25,0.279958678,Jordan Viars
25,0.271906052,Marcos Torres
25,0.16398243,Jefferson Rojas
25,0.232365145,Yasser Mercedes
25,0.184955752,Max Clark
25,0.253783469,Zyhir Hope
25,0.102689487,Kevin McGonigle
25,0.374117647,David Christensen
25,0.335419274,Edgar Lara
25,0.284693878,Juaner Aguasvivas
25,0.234428086,Yeicok Calderon
25,0.209476309,Ericson Leonora
25,0.229842447,Yordyn Calderon
25,0.203296703,Claudio Bautista
25,0.185310734,Dorssys Paulino
25,0.178407351,Anderson Franco
25,0.242718447,Marino Campana
25,0.256728778,Ben Pelletier
25,0.276755283,Adrian Rondon
24,0.205921938,Nicky Delmonico
24,0.175367047,Rio Ruiz
24,0.180161943,Wilson Ramos
24,0.136682243,Dom Nunez
24,0.229362881,Willy Adames
24,0.17044335,Colton Welker
24,0.170072115,Jonathan Arauz
24,0.350943396,Lawrence Butler
24,0.307531381,Everson Pereira
24,0.182645206,Abraham Almonte
24,0.170634921,Neftali Soto
24,0.194933146,Moises Sierra
24,0.196180556,Reid Brignac
24,0.211994421,Daryl Jones
24,0.220222137,Carlos Rodriguez
24,0.220750552,Jonathan Rodriguez
24,0.184441656,Malcom Nunez
24,0.250704225,Rodolfo Nolasco
24,0.355967078,Joshua Mears
24,0.192822967,Victor Acosta
24,0.25102459,Gabriel Terrero
24,0.278551532,Izaac Pacheco
24,0.22030825,Wilfredo Lara
24,0.379104478,Wes Kath
24,0.2,Waner Luciano
